name,price,payment,rating,turn,is_sales_stopped,description
Стиральная машина ATLANT CMA 80C1214-01 ,30 799,3 002,3.15,1200,False,"Стиральная машина ATLANT CMA 80C1214-01 белый [стирка - 8 кг, фронтальная загрузка, отжим - 1200 об/мин, программ - 18, дозагрузка белья, 59 дБ, 59.6 см x 84.6 см x 49.5 см - 56 см]"
Стиральная машина Haier HW90-BP14929BS ,67 999,6 629,4.86,1400,False,"Стиральная машина Haier HW90-BP14929BS серебристый [стирка - 9 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 15, дозагрузка белья, пар, 55 дБ, 59.5 см x 85 см x 49.5 см - 55 см]"
Стиральная машина Korting KWM 49IT1470 ,50 499,4 923,3.67,1400,False,"Стиральная машина Korting KWM 49IT1470 белый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 16, дозагрузка белья, 57 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина ZUGEL ZWS7141I ,42 799,4 172,5,1400,False,"Стиральная машина ZUGEL ZWS7141I белый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 16, дозагрузка белья, 57 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина MAUNFELD MFWM147WH ,55 799,5 439,5,1400,False,"Стиральная машина MAUNFELD MFWM147WH белый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 16, дозагрузка белья, пар, 57 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина EVELUX EW 45127 V ,34 799,3 392,,1200,False,"Стиральная машина EVELUX EW 45127 V белый [стирка - 7 кг, фронтальная загрузка, отжим - 1200 об/мин, программ - 16, 62 дБ, 59.5 см x 85 см x 49.5 см]"
Стирально-сушильная машина Bosch Serie 4 WDS28460OE ,96 299,,4.68,1400,False,"Стирально-сушильная машина Bosch Serie 4 WDS28460OE белый [стирка - 8 кг, сушка - 5 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 16, дозагрузка белья, пар, 59 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина TCL TWF70-G123061A05 ,20 999,2 047,4.65,1200,False,"Стиральная машина TCL TWF70-G123061A05 белый [стирка - 7 кг, фронтальная загрузка, отжим - 1200 об/мин, программ - 16, дозагрузка белья, 62 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина Toshiba TW-J80S2GE ,53 999,,4.5,1200,False,"Стиральная машина Toshiba TW-J80S2GE (WK) белый [стирка - 7 кг, фронтальная загрузка, отжим - 1200 об/мин, программ - 16, 63 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина ZUGEL ZWS7142I ,40 999,3 997,,1400,False,"Стиральная машина ZUGEL ZWS7142I белый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 16, 57 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина Weissgauff WM 4947 DC Invertor Steam ,58 299,5 683,4.58,1400,False,"Стиральная машина Weissgauff WM 4947 DC Invertor Steam серебристый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 14, дозагрузка белья, пар, 57 дБ, 59.5 см x 85 см x 49.5 см]"
Стиральная машина Bosch Serie 8 PerfectCare WLW24K4HOE ,65 799,6 414,4.69,1200,False,"Стиральная машина Bosch Serie 8 PerfectCare WLW24K4HOE белый [стирка - 8 кг, фронтальная загрузка, отжим - 1200 об/мин, программ - 14, дозагрузка белья, 52 дБ, 59.8 см x 84.8 см x 49.5 см - 56 см]"
Стиральная машина DEXP WM-F714BMA/WBSI ,,,4.78,1400,True,"Стиральная машина DEXP WM-F714BMA/WBSI белый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 14, дозагрузка белья, пар, 57 дБ, 59.5 см x 85 см x 49.5 см - 56 см]"
Стиральная машина Midea MF200W70 ,,,,1400,True,"Стиральная машина Midea MF200W70 белый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 14, дозагрузка белья, пар, 59.5 см x 85 см x 49.5 см]"
Стиральная машина Midea MF100W70B/T-C ,,,4.5,1400,True,"Стиральная машина Midea MF100W70B/T-C черный [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 15, пар, 59.5 см x 85 см x 49.5 см]"
Стиральная машина Midea MF100W70B/W-C ,,,,1400,True,"Стиральная машина Midea MF100W70B/W-C белый [стирка - 7 кг, фронтальная загрузка, отжим - 1400 об/мин, программ - 15, пар, 59.5 см x 85 см x 49.5 см]"
